SF,C,SG,PG,PF,F,G,UTIL,Type,Salary,Sig
1630533,202696,1627739,1628983,201587,1631114,1629673,1630200,GEN_LEVERAGE,50000,1627739|1628983|1629673|1630200|1630533|1631114|201587|202696
1628960,1629674,1629004,1627739,1631094,1641731,1630200,201935,GEN_LEVERAGE,49900,1627739|1628960|1629004|1629674|1630200|1631094|1641731|201935
1629008,1629674,1627739,1630193,1628970,1630598,1641710,1641731,GEN_LEVERAGE,49700,1627739|1628970|1629008|1629674|1630193|1630598|1641710|1641731
1626220,1629651,1629656,1627739,1631096,1628960,1641710,1642851,GEN_LEVERAGE,49800,1626220|1627739|1628960|1629651|1629656|1631096|1641710|1642851
1629628,1642852,1628960,1642354,1628970,1631094,1642962,202696,GEN_LEVERAGE,50000,1628960|1628970|1629628|1631094|1642354|1642852|1642962|202696
1630598,1642852,1629004,1629630,1631094,1642461,1642268,202696,GEN_LEVERAGE,49800,1629004|1629630|1630598|1631094|1642268|1642461|1642852|202696
1626220,1629651,1630200,1629630,1630552,1631114,1642266,1642354,GEN_LEVERAGE,50000,1626220|1629630|1629651|1630200|1630552|1631114|1642266|1642354
1626220,1626157,1629130,1628379,1630567,1631094,1629611,202331,GEN_LEVERAGE,49600,1626157|1626220|1628379|1629130|1629611|1630567|1631094|202331
1628960,202696,1629656,1630163,1631094,203937,1642285,1642354,GEN_LEVERAGE,50000,1628960|1629656|1630163|1631094|1642285|1642354|202696|203937
1630573,1629651,1629652,1628983,1631094,201587,1629656,1642285,GEN_LEVERAGE,49800,1628983|1629651|1629652|1629656|1630573|1631094|1642285|201587
1626162,202696,1629652,1630193,203501,1628969,1630200,1641718,GEN_LEVERAGE,50000,1626162|1628969|1629652|1630193|1630200|1641718|202696|203501
1631114,1629651,1628960,1630200,1630552,1641731,1629611,203501,GEN_LEVERAGE,50000,1628960|1629611|1629651|1630200|1630552|1631114|1641731|203501
1626162,1629651,1630200,1630202,1631096,201587,1642285,202696,GEN_LEVERAGE,49900,1626162|1629651|1630200|1630202|1631096|1642285|201587|202696
1630533,1630583,1628971,1629656,1628970,1642852,1630163,1642268,GEN_LEVERAGE,48500,1628970|1628971|1629656|1630163|1630533|1630583|1642268|1642852
1630573,1629651,1627742,1628971,1628970,1630552,1642268,201587,GEN_LEVERAGE,49900,1627742|1628970|1628971|1629651|1630552|1630573|1642268|201587
1627759,1642852,1628379,1628973,1630533,1642846,1641718,1642347,GEN_LEVERAGE,49900,1627759|1628379|1628973|1630533|1641718|1642347|1642846|1642852
1626220,1626157,1629004,1630193,1642275,1631114,1629130,203954,GEN_LEVERAGE,48200,1626157|1626220|1629004|1629130|1630193|1631114|1642275|203954
1642846,203954,1628971,1628401,202331,203932,1629130,1631128,GEN_LEVERAGE,50000,1628401|1628971|1629130|1631128|1642846|202331|203932|203954
1641731,1629674,1627742,1626164,1628374,203932,1629130,1629611,GEN_LEVERAGE,49900,1626164|1627742|1628374|1629130|1629611|1629674|1641731|203932
1642461,1628976,1629611,1628973,1628970,201587,1630178,203501,GEN_LEVERAGE,50000,1628970|1628973|1628976|1629611|1630178|1642461|201587|203501
1626162,1630168,1629652,1642268,1628374,1642852,1642354,203954,GEN_LEVERAGE,50000,1626162|1628374|1629652|1630168|1642268|1642354|1642852|203954
1631114,1642852,1629611,1630200,1628374,1641730,1642849,203954,GEN_LEVERAGE,50000,1628374|1629611|1630200|1631114|1641730|1642849|1642852|203954
1626220,1627826,1629611,1641710,1642852,1641731,1630217,1642285,GEN_LEVERAGE,49500,1626220|1627826|1629611|1630217|1641710|1641731|1642285|1642852
1626220,1628976,1628960,1629630,1630552,1630598,1629130,1629674,GEN_LEVERAGE,48400,1626220|1628960|1628976|1629130|1629630|1629674|1630552|1630598
1628969,1629674,1627742,1629630,1628970,1629628,1629673,1642266,GEN_LEVERAGE,50000,1627742|1628969|1628970|1629628|1629630|1629673|1629674|1642266
1629008,1628976,1629611,1630200,1628970,1641731,1642849,203954,GEN_LEVERAGE,49400,1628970|1628976|1629008|1629611|1630200|1641731|1642849|203954
1628960,203954,1628379,1630163,1642461,1629008,1630200,1642354,GEN_LEVERAGE,50000,1628379|1628960|1629008|1630163|1630200|1642354|1642461|203954
1628969,1628976,1628971,1628973,1630567,1630573,1630200,1641731,GEN_LEVERAGE,49600,1628969|1628971|1628973|1628976|1630200|1630567|1630573|1641731
1626220,1629674,1629130,1630700,1631094,1631114,1630530,1642347,GEN_LEVERAGE,49300,1626220|1629130|1629674|1630530|1630700|1631094|1631114|1642347
1630533,1627826,1629656,1629630,1630567,1630573,1641710,1628976,GEN_LEVERAGE,49900,1627826|1628976|1629630|1629656|1630533|1630567|1630573|1641710
1626220,1628976,1629130,1627739,1631094,203501,1631128,203954,GEN_LEVERAGE,49400,1626220|1627739|1628976|1629130|1631094|1631128|203501|203954
1628960,1629674,1630200,1628973,1630573,1631094,1631128,1642268,GEN_LEVERAGE,50000,1628960|1628973|1629674|1630200|1630573|1631094|1631128|1642268
1641731,1642259,1629652,1629630,1626220,203501,1629673,1630178,GEN_LEVERAGE,50000,1626220|1629630|1629652|1629673|1630178|1641731|1642259|203501
1628960,1628976,1629611,1641718,1642346,1641731,201935,1629651,GEN_LEVERAGE,48500,1628960|1628976|1629611|1629651|1641718|1641731|1642346|201935
1626220,1627826,1641710,1630193,1630573,1631094,1642383,1642852,GEN_LEVERAGE,49800,1626220|1627826|1630193|1630573|1631094|1641710|1642383|1642852
1627759,1628976,1628379,1641718,1628374,1630573,1642266,1642461,GEN_LEVERAGE,48500,1627759|1628374|1628379|1628976|1630573|1641718|1642266|1642461
1626220,1629674,1629611,1628983,1631094,1642461,1629656,203501,GEN_LEVERAGE,49900,1626220|1628983|1629611|1629656|1629674|1631094|1642461|203501
1629008,1628976,1629611,1628973,1628374,1642852,1642383,201587,GEN_LEVERAGE,49900,1628374|1628973|1628976|1629008|1629611|1642383|1642852|201587
1630573,1627826,1629004,1642285,1631094,1642461,1631128,201935,GEN_LEVERAGE,49900,1627826|1629004|1630573|1631094|1631128|1642285|1642461|201935
1630573,1629651,1629656,1628971,1628991,1631096,1641710,1642285,GEN_LEVERAGE,49900,1628971|1628991|1629651|1629656|1630573|1631096|1641710|1642285
1627759,1628976,1629611,1642266,1628374,203501,1629652,203954,GEN_LEVERAGE,50000,1627759|1628374|1628976|1629611|1629652|1642266|203501|203954
1630598,1628976,1630217,1630178,1631094,1642962,1642268,1642849,GEN_LEVERAGE,49500,1628976|1630178|1630217|1630598|1631094|1642268|1642849|1642962
1631114,1629651,1629611,1629630,1631094,1641730,1642268,1642383,GEN_LEVERAGE,49900,1629611|1629630|1629651|1631094|1631114|1641730|1642268|1642383
1626220,203937,1629652,1628983,1631094,1641730,1629656,1630200,GEN_LEVERAGE,49700,1626220|1628983|1629652|1629656|1630200|1631094|1641730|203937
1627759,1629674,1642962,1627739,1628374,1631114,1642268,203501,GEN_LEVERAGE,49800,1627739|1627759|1628374|1629674|1631114|1642268|1642962|203501
1628415,1629674,1629004,1630178,1631094,1641730,1642285,1642354,GEN_LEVERAGE,49900,1628415|1629004|1629674|1630178|1631094|1641730|1642285|1642354
1626220,1642259,1629130,1626164,1631096,1641730,1630163,1642275,GEN_LEVERAGE,49900,1626164|1626220|1629130|1630163|1631096|1641730|1642259|1642275
1626220,1628976,1627742,1628971,1631094,1642962,1631128,1641718,GEN_LEVERAGE,50000,1626220|1627742|1628971|1628976|1631094|1631128|1641718|1642962
1631114,202696,1626164,1628971,201587,1641731,1630202,1642268,GEN_LEVERAGE,50000,1626164|1628971|1630202|1631114|1641731|1642268|201587|202696
1629008,1642852,1627739,1642285,1628970,1631096,1642849,1641731,GEN_LEVERAGE,49800,1627739|1628970|1629008|1631096|1641731|1642285|1642849|1642852
1628415,1626157,1627739,1628379,1630552,1642846,1641710,1642849,GEN_LEVERAGE,49900,1626157|1627739|1628379|1628415|1630552|1641710|1642846|1642849
1628960,1629674,1629130,1641718,1631094,1642846,1629611,1642285,GEN_LEVERAGE,48400,1628960|1629130|1629611|1629674|1631094|1641718|1642285|1642846
1626220,1628991,1627742,1628379,1631094,1629628,1629130,1641730,GEN_LEVERAGE,50000,1626220|1627742|1628379|1628991|1629130|1629628|1631094|1641730
1626162,1629651,1629652,1628971,1628970,1631096,1642285,202696,GEN_LEVERAGE,49700,1626162|1628970|1628971|1629651|1629652|1631096|1642285|202696
1642377,1629651,1641710,1629630,1628970,201587,1642285,1642856,GEN_LEVERAGE,49800,1628970|1629630|1629651|1641710|1642285|1642377|1642856|201587
1626220,1628976,1631128,1626164,203501,1642846,1641710,203932,GEN_LEVERAGE,49900,1626164|1626220|1628976|1631128|1641710|1642846|203501|203932
1626220,1630168,1629652,1627739,1631094,201587,1628973,1629656,GEN_LEVERAGE,49600,1626220|1627739|1628973|1629652|1629656|1630168|1631094|201587
1630533,1629651,1629611,1630700,1629627,1631094,1642285,1629674,GEN_LEVERAGE,50000,1629611|1629627|1629651|1629674|1630533|1630700|1631094|1642285
1641731,1628976,1629652,1642285,1631094,1641730,1630217,1629674,GEN_LEVERAGE,50000,1628976|1629652|1629674|1630217|1631094|1641730|1641731|1642285
1628960,1627826,1629130,1630163,1628970,1631096,1630200,1642354,GEN_LEVERAGE,49300,1627826|1628960|1628970|1629130|1630163|1630200|1631096|1642354
1629008,1628976,1629611,1642354,1630552,1630573,1629652,1631096,GEN_LEVERAGE,48300,1628976|1629008|1629611|1629652|1630552|1630573|1631096|1642354
1629008,202696,1629004,1628983,1642275,1641731,1629611,1642285,GEN_LEVERAGE,49700,1628983|1629004|1629008|1629611|1641731|1642275|1642285|202696
1628415,203954,1642266,1629673,1628374,1630573,1642383,1631094,GEN_LEVERAGE,50000,1628374|1628415|1629673|1630573|1631094|1642266|1642383|203954
1629008,203954,1629611,1627739,1631094,203501,1631128,1642849,GEN_LEVERAGE,50000,1627739|1629008|1629611|1631094|1631128|1642849|203501|203954
1630533,1629651,1628379,1628973,1628970,1642852,1642268,1642285,GEN_LEVERAGE,48200,1628379|1628970|1628973|1629651|1630533|1642268|1642285|1642852
1628969,1642259,1627739,1641710,1630598,1631094,1642268,1642347,GEN_LEVERAGE,49900,1627739|1628969|1630598|1631094|1641710|1642259|1642268|1642347
1628960,1626157,1629652,1629656,1628991,1630533,1642849,201935,GEN_LEVERAGE,48400,1626157|1628960|1628991|1629652|1629656|1630533|1642849|201935
1626162,1630168,1629611,1629673,1631094,1629008,1642268,1642275,GEN_LEVERAGE,49900,1626162|1629008|1629611|1629673|1630168|1631094|1642268|1642275
1629008,1627826,1629004,1629656,1628970,1641731,1630530,1631128,GEN_LEVERAGE,49900,1627826|1628970|1629004|1629008|1629656|1630530|1631128|1641731
1628415,1628976,1629656,1641710,1629627,1642846,1642347,1642259,GEN_LEVERAGE,50000,1628415|1628976|1629627|1629656|1641710|1642259|1642347|1642846
1630573,1626157,1629611,1629630,1628970,1631114,1630217,1642849,GEN_LEVERAGE,49700,1626157|1628970|1629611|1629630|1630217|1630573|1631114|1642849
1629008,1629651,1627742,1629673,1626220,1642962,1630217,1629674,GEN_LEVERAGE,49800,1626220|1627742|1629008|1629651|1629673|1629674|1630217|1642962
1631114,1629651,1629130,1630200,1628970,1628991,1642347,1630168,GEN_LEVERAGE,49900,1628970|1628991|1629130|1629651|1630168|1630200|1631114|1642347
1630573,1629674,1629004,1627739,1628374,1631094,1630163,1641730,GEN_LEVERAGE,49400,1627739|1628374|1629004|1629674|1630163|1630573|1631094|1641730
1627759,1629674,1629130,1642383,1630552,1631096,1631128,201587,GEN_LEVERAGE,49900,1627759|1629130|1629674|1630552|1631096|1631128|1642383|201587
1642846,1642259,1630200,1629630,1628970,1631094,1642849,201587,GEN_LEVERAGE,50000,1628970|1629630|1630200|1631094|1642259|1642846|1642849|201587
1629008,1642852,1628379,1629630,1630573,1631096,1629656,203501,GEN_LEVERAGE,48200,1628379|1629008|1629630|1629656|1630573|1631096|1642852|203501
1641731,1629651,1629130,1630163,1628374,202331,1642285,1629674,GEN_LEVERAGE,49700,1628374|1629130|1629651|1629674|1630163|1641731|1642285|202331
1626220,1627826,1628960,1642285,1630552,1630573,1642383,1631096,GEN_LEVERAGE,50000,1626220|1627826|1628960|1630552|1630573|1631096|1642285|1642383
203501,1629651,1629004,1628401,1628374,1631094,1629656,1642849,GEN_LEVERAGE,49800,1628374|1628401|1629004|1629651|1629656|1631094|1642849|203501
1631114,1629674,1629611,1629673,1630552,201587,1630217,1631128,GEN_LEVERAGE,49800,1629611|1629673|1629674|1630217|1630552|1631114|1631128|201587
1626220,1627826,1629004,1628971,1630552,1631094,1629611,203501,GEN_LEVERAGE,49700,1626220|1627826|1628971|1629004|1629611|1630552|1631094|203501
1626220,1629674,1627742,1627739,1628991,203501,1629130,203954,GEN_LEVERAGE,49400,1626220|1627739|1627742|1628991|1629130|1629674|203501|203954
1630573,1626157,1626164,1642266,1631096,1631114,1642849,1630168,GEN_LEVERAGE,49200,1626157|1626164|1630168|1630573|1631096|1631114|1642266|1642849
1629008,1628976,1629611,1642268,1630573,1631094,1629652,1630217,GEN_LEVERAGE,49900,1628976|1629008|1629611|1629652|1630217|1630573|1631094|1642268
1629628,1626157,1629611,1628379,1630552,1642461,1641710,1642347,GEN_LEVERAGE,49400,1626157|1628379|1629611|1629628|1630552|1641710|1642347|1642461
1626220,1628976,1629130,1628973,1642461,203501,1629630,1630217,GEN_LEVERAGE,50000,1626220|1628973|1628976|1629130|1629630|1630217|1642461|203501
1630573,203954,1627739,1626164,201587,1631114,1628401,1629611,GEN_LEVERAGE,49700,1626164|1627739|1628401|1629611|1630573|1631114|201587|203954
1631114,1628976,1629652,1630200,1630552,1641731,1631128,203501,GEN_LEVERAGE,49400,1628976|1629652|1630200|1630552|1631114|1631128|1641731|203501
1642962,1629674,1629611,1628983,1630552,1642275,1630700,1642285,GEN_LEVERAGE,50000,1628983|1629611|1629674|1630552|1630700|1642275|1642285|1642962
1626220,1626157,1629130,1630178,1630598,1631096,1642285,1642849,GEN_LEVERAGE,48400,1626157|1626220|1629130|1630178|1630598|1631096|1642285|1642849
1626220,1628976,1629130,1629630,1629627,1629628,1642285,1629651,GEN_LEVERAGE,50000,1626220|1628976|1629130|1629627|1629628|1629630|1629651|1642285
1631114,1629651,1629652,1628971,1628970,1630567,1642347,1631096,GEN_LEVERAGE,50000,1628970|1628971|1629651|1629652|1630567|1631096|1631114|1642347
1626220,1628976,1627742,1642347,1628374,1630552,1629004,1629130,GEN_LEVERAGE,49600,1626220|1627742|1628374|1628976|1629004|1629130|1630552|1642347
1629628,1629674,1630200,1629656,1630583,1631094,1631128,1642275,GEN_LEVERAGE,48400,1629628|1629656|1629674|1630200|1630583|1631094|1631128|1642275
1642262,203954,1630217,1642266,1628384,1631094,1642285,1642849,GEN_LEVERAGE,49900,1628384|1630217|1631094|1642262|1642266|1642285|1642849|203954
1641731,1629674,1631128,1629673,1630552,203501,1642347,203954,GEN_LEVERAGE,49800,1629673|1629674|1630552|1631128|1641731|1642347|203501|203954
1628960,1630168,1629130,1628971,203501,1631114,1629630,1641710,GEN_LEVERAGE,49600,1628960|1628971|1629130|1629630|1630168|1631114|1641710|203501
1626220,1627826,1629004,1642268,1630552,202331,1631128,1629651,GEN_LEVERAGE,50000,1626220|1627826|1629004|1629651|1630552|1631128|1642268|202331
1628960,1626157,1629611,1630200,1626220,1630557,1641710,203954,GEN_LEVERAGE,50000,1626157|1626220|1628960|1629611|1630200|1630557|1641710|203954
1630573,1626157,1629130,1630200,1631096,1641730,1641718,1642285,GEN_LEVERAGE,49800,1626157|1629130|1630200|1630573|1631096|1641718|1641730|1642285
1629008,1628976,1628379,1642268,1626220,1642461,1642285,202696,GEN_LEVERAGE,48400,1626220|1628379|1628976|1629008|1642268|1642285|1642461|202696
1630598,203954,1630217,1628973,203501,203932,1642347,1642383,GEN_LEVERAGE,49900,1628973|1630217|1630598|1642347|1642383|203501|203932|203954
1626220,1628976,1629656,1628379,1628374,1631094,1642285,1629674,GEN_LEVERAGE,49900,1626220|1628374|1628379|1628976|1629656|1629674|1631094|1642285
1642461,1628976,1631128,1627739,1628970,1631096,1641710,1642268,GEN_LEVERAGE,49900,1627739|1628970|1628976|1631096|1631128|1641710|1642268|1642461
1629008,1628976,1629004,1628401,1626220,201587,1630557,203954,GEN_LEVERAGE,48500,1626220|1628401|1628976|1629004|1629008|1630557|201587|203954
1626220,1629674,1629673,1630178,1628991,201587,1630200,1642285,GEN_LEVERAGE,49900,1626220|1628991|1629673|1629674|1630178|1630200|1642285|201587
1642461,1627826,1628971,1628379,1628374,1630552,1629652,1642285,GEN_LEVERAGE,50000,1627826|1628374|1628379|1628971|1629652|1630552|1642285|1642461
1626220,1642852,1630200,1629630,1631096,1642275,1641710,1642268,GEN_LEVERAGE,49900,1626220|1629630|1630200|1631096|1641710|1642268|1642275|1642852
1642346,1628976,1629611,1641718,1628970,1642852,1630217,1642285,GEN_LEVERAGE,50000,1628970|1628976|1629611|1630217|1641718|1642285|1642346|1642852
1628960,1627826,1630200,1628983,1630533,203501,1642268,1642285,GEN_LEVERAGE,49900,1627826|1628960|1628983|1630200|1630533|1642268|1642285|203501
1630573,1628976,1627739,1626164,1642275,1642846,1627742,1627750,GEN_LEVERAGE,49800,1626164|1627739|1627742|1627750|1628976|1630573|1642275|1642846
1626220,1642259,1629656,1626164,1628970,1641731,1629673,203501,GEN_LEVERAGE,49700,1626164|1626220|1628970|1629656|1629673|1641731|1642259|203501
1629628,1629651,1630700,1641718,1626220,1641731,1642285,1642846,GEN_LEVERAGE,49500,1626220|1629628|1629651|1630700|1641718|1641731|1642285|1642846
1641731,1627826,1630200,1627739,1626220,1628374,1641710,1642377,GEN_LEVERAGE,49800,1626220|1627739|1627826|1628374|1630200|1641710|1641731|1642377
1631114,1629674,1628960,1629656,1630533,1631094,1629673,1630202,GEN_LEVERAGE,50000,1628960|1629656|1629673|1629674|1630202|1630533|1631094|1631114
1628960,1626157,1629673,1627739,1626220,1642962,1630178,1642285,GEN_LEVERAGE,49600,1626157|1626220|1627739|1628960|1629673|1630178|1642285|1642962
1630573,1629651,1629130,1630200,1628970,202695,1642266,202696,GEN_LEVERAGE,48500,1628970|1629130|1629651|1630200|1630573|1642266|202695|202696
1641731,1626157,1641710,1641718,1626220,203501,1642266,1627826,GEN_LEVERAGE,50000,1626157|1626220|1627826|1641710|1641718|1641731|1642266|203501
1628969,203954,1627742,1627739,1642275,1641731,1629673,1642285,GEN_LEVERAGE,49700,1627739|1627742|1628969|1629673|1641731|1642275|1642285|203954
1629628,1626157,1627739,1629630,1630598,1631096,1630200,1641731,GEN_LEVERAGE,50000,1626157|1627739|1629628|1629630|1630200|1630598|1631096|1641731
1629628,1627826,1629656,1629630,1628970,1630573,1630700,1641730,GEN_LEVERAGE,50000,1627826|1628970|1629628|1629630|1629656|1630573|1630700|1641730
1627759,1629651,1629611,1642268,1630573,1629008,1642856,1642461,GEN_LEVERAGE,48500,1627759|1629008|1629611|1629651|1630573|1642268|1642461|1642856
1626220,1630583,1627742,1628379,1628970,1631096,1629656,1630200,GEN_LEVERAGE,49900,1626220|1627742|1628379|1628970|1629656|1630200|1630583|1631096
1626220,1628976,1629611,1628973,1642461,1642852,1630217,1642285,GEN_LEVERAGE,49800,1626220|1628973|1628976|1629611|1630217|1642285|1642461|1642852
1626220,1626157,1627739,1628379,1628970,1642377,1630178,1642461,GEN_LEVERAGE,50000,1626157|1626220|1627739|1628379|1628970|1630178|1642377|1642461
1626162,1629674,1629611,1628983,1626220,1631114,1630200,1642285,GEN_LEVERAGE,49600,1626162|1626220|1628983|1629611|1629674|1630200|1631114|1642285
203501,1642852,1629656,1628379,1630567,1631094,1642383,1631096,GEN_LEVERAGE,50000,1628379|1629656|1630567|1631094|1631096|1642383|1642852|203501
1628960,1629674,1628379,1627739,1628374,1631094,1642268,1642285,GEN_LEVERAGE,49900,1627739|1628374|1628379|1628960|1629674|1631094|1642268|1642285
1630598,1628991,1629611,1626164,1628970,1630567,1629652,1641730,GEN_LEVERAGE,50000,1626164|1628970|1628991|1629611|1629652|1630567|1630598|1641730
1628415,1628976,1631128,1641718,1642275,1631114,1642347,203954,GEN_LEVERAGE,50000,1628415|1628976|1631114|1631128|1641718|1642275|1642347|203954
1631114,1629651,1628379,1630200,1631212,1641706,1642347,203954,GEN_LEVERAGE,50000,1628379|1629651|1630200|1631114|1631212|1641706|1642347|203954
1629008,1629674,1629611,1628379,1628415,1629628,1628983,1630200,GEN_LEVERAGE,50000,1628379|1628415|1628983|1629008|1629611|1629628|1629674|1630200
1641731,1628976,1627742,1628971,1631096,1641730,1629611,203954,GEN_LEVERAGE,49900,1627742|1628971|1628976|1629611|1631096|1641730|1641731|203954
1626220,1629651,1631128,1629673,1631096,1631114,1642849,203954,GEN_LEVERAGE,49700,1626220|1629651|1629673|1631096|1631114|1631128|1642849|203954
1628960,1628976,1627739,1626164,1631094,203501,1629611,1630200,GEN_LEVERAGE,50000,1626164|1627739|1628960|1628976|1629611|1630200|1631094|203501
1626220,1629651,1627739,1628973,1630573,1641730,1630200,203954,GEN_LEVERAGE,49900,1626220|1627739|1628973|1629651|1630200|1630573|1641730|203954
1629638,1627826,1630700,1627739,1642346,1641706,1641718,1629674,GEN_LEVERAGE,49800,1627739|1627826|1629638|1629674|1630700|1641706|1641718|1642346
1628960,203954,1628971,1628379,1630567,1642962,1628983,1629130,GEN_LEVERAGE,49500,1628379|1628960|1628971|1628983|1629130|1630567|1642962|203954
1626220,1642852,1627739,1628379,1628970,1630567,1630163,1642268,GEN_LEVERAGE,49900,1626220|1627739|1628379|1628970|1630163|1630567|1642268|1642852
1626162,203954,1629652,1628379,1626220,1628970,1630202,1630217,GEN_LEVERAGE,50000,1626162|1626220|1628379|1628970|1629652|1630202|1630217|203954
1629008,1629674,1628379,1629630,1629627,203501,1629656,1630200,GEN_LEVERAGE,49900,1628379|1629008|1629627|1629630|1629656|1629674|1630200|203501
1629008,203954,1629130,1629673,1630573,1641731,1630217,1642856,GEN_LEVERAGE,49900,1629008|1629130|1629673|1630217|1630573|1641731|1642856|203954
1629628,1628976,1629130,1628379,201587,1641731,1628983,203954,GEN_LEVERAGE,48400,1628379|1628976|1628983|1629130|1629628|1641731|201587|203954
1630557,1627826,1627742,1628973,203501,1642846,1629673,1630200,GEN_LEVERAGE,49200,1627742|1627826|1628973|1629673|1630200|1630557|1642846|203501
1641731,1642852,1629611,1628973,1628374,1630567,1642383,203501,GEN_LEVERAGE,50000,1628374|1628973|1629611|1630567|1641731|1642383|1642852|203501
1626220,1627826,1630217,1630178,1628970,1630533,1642354,1641731,GEN_LEVERAGE,50000,1626220|1627826|1628970|1630178|1630217|1630533|1641731|1642354
1626220,1629651,1630700,1627739,1628374,1641731,1631128,1641710,GEN_LEVERAGE,49900,1626220|1627739|1628374|1629651|1630700|1631128|1641710|1641731
